,Average Training loss
1,-39.03671668338776
2,-26.26480676269531
3,-11.358710202217102
4,2.9759155188947917
5,16.526153363227845
6,27.318346073150636
7,36.01293551635742
8,45.447508171081545
9,54.7445989151001
10,61.60448118591309
11,68.71019498443603
12,75.23827565002442
13,81.12272343444825
14,86.97062968444824
15,92.44094757080079
16,97.69731428527832
17,102.91826670837402
18,107.9456270904541
19,112.68266229248047
20,117.2362174835205
21,117.8951669769287
22,116.78250289916993
23,115.72950146484375
24,114.63024102783203
25,113.4619306640625
26,112.57172093200684
27,111.67618927001953
28,110.93732167053223
29,110.1717396850586
30,109.52485026550293
31,108.90646661376954
32,108.3479069366455
33,107.8187191619873
34,107.34550492858887
35,106.86570317077637
36,106.43845207214355
37,106.05109957885742
38,105.66293673706055
39,105.30096102905273
40,104.97834053039551
41,104.63681611633301
42,104.28449168395996
43,104.00330758666992
44,103.76690614318848
45,103.45994737243652
46,103.18379180908204
47,102.97267835998535
48,102.7246463470459
49,102.47822215270996
50,102.41768342590332
51,102.0677345123291
52,101.88153382873536
53,101.6704070892334
54,101.50461456298828
55,101.33087568664551
56,101.15756121826172
57,100.98364996337891
58,100.83994682312012
59,100.66503930664062
60,100.53064630126953
61,100.36962673950195
62,100.24676588439941
63,100.10693278503418
64,100.02516519165039
65,99.84985108947754
66,99.74134568786621
67,99.61960604858399
68,99.50880026245117
69,99.39329066467285
70,99.26834989929199
71,99.175609375
72,99.06130717468261
73,98.95635276794434
74,98.87623779296875
75,98.76483421325683
76,98.71932518005372
77,98.63577203369141
78,98.50732815551758
79,98.42514645385742
80,98.33142208862304
81,98.27831170654296
82,98.22112738037109
83,98.13366339111329
84,98.04913186645508
85,98.01199217224121
86,97.9115089263916
87,97.86288479614258
88,97.77710932922363
89,97.67057873535157
90,97.64606475830078
91,97.59928170776367
92,97.51944363403321
93,97.47286741638183
94,97.40643434143067
95,97.3482548828125
96,97.27815901184081
97,97.24669190979004
98,97.2096771697998
99,97.14071925354004
100,97.06753590393066
101,97.01245729064941
102,96.98238973999024
103,96.92012217712403
104,96.87825729370117
105,96.81200276184082
106,96.79246466064453
107,96.7298480682373
108,96.70207612609863
109,96.64224049377441
110,96.57836111450196
111,96.54582846069336
112,96.49977360534668
113,96.50214036560058
114,96.41805647277832
115,96.35544207763672
116,96.34509336853027
117,96.3000294494629
118,96.2739292755127
119,96.22830870056153
120,96.19000833129883
121,96.15305705261231
122,96.11500825500488
123,96.07905284118652
124,96.01586596679688
125,96.00299803161622
126,95.96689535522461
127,95.94215255737305
128,95.88368655395507
129,95.87103979492187
130,95.8616961517334
131,95.7639647064209
132,95.77258811950684
133,95.75640409851074
134,95.72883755493164
135,95.68833184814453
136,95.66479432678223
137,95.59675894165039
138,95.5911265411377
139,95.55973988342285
140,95.54348385620118
141,95.48521720886231
142,95.46329434204101
143,95.43487707519532
144,95.43768281555175
145,95.36903887939454
146,95.33401922607422
147,95.34323539733887
148,95.30605783081054
149,95.29177729797364
150,95.27312469482422
151,95.23156674194335
152,95.20437002563476
153,95.1922314453125
154,95.17424336242676
155,95.13173695373536
156,95.08871745300293
157,95.06967025756836
158,95.05974172973633
159,95.01351864624023
160,95.02146922302246
161,94.96584352111816
162,94.93332266235352
163,94.93192102050782
164,94.92894764709473
165,94.90957606506348
166,94.84839768981934
167,94.83011172485351
168,94.8332472229004
169,94.81142530822754
170,94.78198901367188
171,94.76668994140626
172,94.73383555603027
173,94.71626293945313
174,94.69216004943847
175,94.65845681762696
176,94.62869360351563
177,94.64408717346191
178,94.61578242492676
179,94.5772382965088
180,94.58748091125489
181,94.53628424072265
182,94.54668115234375
183,94.49071475219726
184,94.52694132995606
185,94.48772972106934
186,94.47126040649414
187,94.45531265258789
188,94.43363586425781
189,94.41689152526855
190,94.39985327148437
191,94.3723748626709
192,94.34389933776855
193,94.31267080688477
194,94.31019342041016
195,94.34227308654785
196,94.26713865661621
197,94.28292864990235
198,94.254191696167
199,94.25371322631835
200,94.22963803100586
201,94.18588020324707
202,94.17135963439941
203,94.17808749389648
204,94.14199011230468
205,94.14172274780273
206,94.11696086120605
207,94.08864552307129
208,94.07421054077149
209,94.0871187133789
210,94.0497529296875
211,94.04151631164551
212,94.01384226989747
213,94.0041739654541
214,94.01863204956055
215,93.97751162719726
216,93.96685377502442
217,93.94693270874023
218,93.9526637878418
219,93.92716885375977
220,93.87624803161621
221,93.88372602844238
222,93.89121179199219
223,93.84621075439453
224,93.84439730834961
225,93.86126147460938
226,93.8021153869629
227,93.81847381591797
228,93.79868273925781
229,93.77970942687988
230,93.77024198913574
231,93.75443452453614
232,93.74923197937012
233,93.70341052246094
234,93.70133546447754
235,93.7141570892334
236,93.69576797485351
237,93.66731730651856
238,93.65129298400879
239,93.6436004486084
240,93.60470788574219
241,93.58147622680664
242,93.60785787963867
243,93.57595167541504
244,93.58221864318848
245,93.59287268066406
246,93.57383949279784
247,93.53879992675782
248,93.5241593017578
249,93.50941418457032
250,93.49919848632813
251,93.49483743286133
252,93.48482972717285
253,93.47459205627442
254,93.47002528381347
255,93.43576110839844
256,93.45482002258301
257,93.43660348510743
258,93.40511766052246
259,93.4212675628662
260,93.37880865478516
261,93.39531831359864
262,93.34434375
263,93.33326913452149
264,93.33569442749024
265,93.34434614562988
266,93.31144503784179
267,93.30153074645996
268,93.27219421386718
269,93.28691184997558
270,93.28337716674805
271,93.25233633422852
272,93.26436738586426
273,93.23653985595703
274,93.22836849975586
275,93.20397854614258
276,93.22076188659668
277,93.22789724731446
278,93.20308892822266
279,93.16647940063477
280,93.18141430664062
281,93.13850944519044
282,93.15048551940917
283,93.1257802734375
284,93.12127723693848
285,93.10134873962403
286,93.11533700561523
287,93.09661979675293
288,93.07248500061036
289,93.09047378540039
290,93.07262966918945
291,93.06251667785645
292,93.04581495666504
293,93.03228790283202
294,93.03353343200683
295,93.01642549133301
296,93.01158139038085
297,93.01954577636718
298,93.00079528808594
299,92.97150231933594
300,92.97845541381835
301,92.96316279602051
302,92.9719366607666
303,92.95390187072753
304,92.9589464416504
305,92.89798307800292
306,92.91313598632813
307,92.92091506958008
308,92.8971346435547
309,92.90219799804687
310,92.88532135009766
311,92.88384423828126
312,92.8699048461914
313,92.86326843261719
314,92.84950361633301
315,92.84507594299316
316,92.84997283935547
317,92.83927900695801
318,92.82505224609375
319,92.811548538208
320,92.79868493652344
321,92.7881577758789
322,92.76477680969238
323,92.76714788818359
324,92.75768812561036
325,92.75458343505859
326,92.74671859741211
327,92.73255940246582
328,92.7331939239502
329,92.71111961364745
330,92.68951644897462
331,92.68424809265137
332,92.70048483276368
333,92.67572261047363
334,92.66945542907715
335,92.68321466064454
336,92.65974757385254
337,92.65936952209472
338,92.6699832611084
339,92.65147518920898
340,92.66325788879395
341,92.61925262451172
342,92.6274702758789
343,92.60941044616699
344,92.58830111694336
345,92.57388488769531
346,92.57739215087891
347,92.61077589416504
348,92.55508197021484
349,92.57971209716797
350,92.54974328613281
351,92.5424552001953
352,92.53075541687012
353,92.56065605163575
354,92.52376622009277
355,92.51063732910156
356,92.51525831604003
357,92.48603045654296
358,92.49088346862793
359,92.50564733886719
360,92.46829634094239
361,92.44747068786621
362,92.4667087097168
363,92.47162905883789
364,92.44206399536132
365,92.4573466796875
366,92.43249774169922
367,92.44282153320313
368,92.42360453796387
369,92.44577575683594
370,92.39863981628417
371,92.39324534606934
372,92.39733135986329
373,92.38516983032227
374,92.37747625732422
375,92.36193180847168
376,92.36733465576172
377,92.34290309143067
378,92.35686421203613
379,92.35307591247559
380,92.34427111816406
381,92.3095570678711
382,92.31410581970215
383,92.29354467773437
384,92.32411557006836
385,92.29679972839355
386,92.29230847167969
387,92.29281001281738
388,92.2610444946289
389,92.2790658569336
390,92.23401731872559
391,92.28484912109376
392,92.2566139678955
393,92.23479301452636
394,92.24538375854492
395,92.23301193237305
396,92.2171869506836
397,92.21060108947754
