,Average Training loss
1,-32.72030883860588
2,-19.998529330134392
3,-2.767244556914782
4,6.17629434586945
5,18.714110681533814
6,30.71690909576416
7,42.59471085357666
8,53.359219177246096
9,60.427506744384765
10,68.34228643035888
11,75.25361097717285
12,81.0254256286621
13,86.2994828338623
14,91.91974269104004
15,96.55497448730469
16,101.61363191223144
17,106.85256956481933
18,111.65003350830078
19,116.25230598449707
20,120.48077851867676
21,120.64152613830566
22,119.1715206451416
23,117.8758309173584
24,116.7072096862793
25,115.58812370300294
26,114.46688786315919
27,113.44750856018067
28,112.50535189819335
29,111.68495797729493
30,110.92450543212891
31,110.16194747924804
32,109.45101042175293
33,108.71233947753906
34,107.99300494384765
35,107.3828152923584
36,106.8246284942627
37,106.2397791595459
38,105.7517600402832
39,105.30337396240235
40,104.92558610534668
41,104.53305491638183
42,104.14255979919433
43,103.83352281188965
44,103.54449919128417
45,103.21004318237304
46,102.9579094543457
47,102.64615394592285
48,102.38934436035156
49,102.11046879577637
50,101.86334027099609
51,101.585537109375
52,101.34830090332031
53,101.1321287689209
54,100.90784396362305
55,100.71679002380371
56,100.52391529846192
57,100.30945210266113
58,100.11350898742675
59,99.95494863891602
60,99.77306971740722
61,99.61036909484864
62,99.4755855255127
63,99.30749266052246
64,99.14219174194336
65,99.00735647583008
66,98.88341873168946
67,98.74841360473633
68,98.62164961242675
69,98.50152001953126
70,98.3525166015625
71,98.26971450805664
72,98.13877102661132
73,98.00535920715332
74,97.93252592468262
75,97.82612281799317
76,97.71436659240723
77,97.63604804992676
78,97.57730421447754
79,97.42401808166504
80,97.36198011779786
81,97.26022587585449
82,97.18778181457519
83,97.0980046081543
84,97.04668125915528
85,96.93461949157715
86,96.86235136413575
87,96.7939814300537
88,96.71632881164551
89,96.63405912780762
90,96.56886175537109
91,96.50503297424316
92,96.44945936584473
93,96.37948910522461
94,96.29911145019531
95,96.23709393310547
96,96.18322106933594
97,96.13084049987793
98,96.0541803741455
99,95.9683542022705
100,95.9365163269043
101,95.87577606201172
102,95.83446226501465
103,95.77152871704102
104,95.72205113220215
105,95.68329788208008
106,95.64144921875
107,95.57512875366211
108,95.51849977111816
109,95.47616149902343
110,95.43419361877442
111,95.37634548950196
112,95.33182658386231
113,95.2729359588623
114,95.26072917175293
115,95.19771908569336
116,95.15960021972656
117,95.09704885864258
118,95.07044105529785
119,95.04324153137208
120,94.9963274383545
121,94.96517306518555
122,94.91141653442382
123,94.88189762878417
124,94.81059925842285
125,94.76316146850586
126,94.73587577819825
127,94.69203231811524
128,94.67020892333984
129,94.63064405822755
130,94.56163511657715
131,94.55899116516113
132,94.4801149597168
133,94.46587551879882
134,94.4369142150879
135,94.36979933166504
136,94.37709465026856
137,94.33165867614746
138,94.28944403076171
